Chorus;0;0;0;[];[];[];0;0
Chowkidar;13;8;1;[u'Dr.', u'Dinanath', u'Thakur', u'Bela', u'Shambhu', u'Lala', u'Gopal', u'dancer', u'Vilaitiram', u'Deeply', u'Shyam', u'Sambhu', u'Radha'];[u'Dr.', u'Thakur', u'Bela', u'Shambhu', u'Gopal', u'dancer', u'Deeply', u'Shyam'];[u'Radha'];1;0

Dawat;0;0;0;[];[];[];0;0
Dhuen Ki Lakeer;0;0;0;[];[];[];0;0
Dil Diwana;0;0;0;[];[];[];1;0

Do Aankhen;0;0;0;[];[];[];0;0
Do Chattane;0;0;0;[];[];[];1;1

Do Nambar Ke Amir;0;0;0;[];[];[];0;0
Doosri Sita;0;0;0;[];[];[];0;0
Dost;3;1;0;[u'Gopichand', u'Hercules', u'Maanav'];[u'Gopichand'];[];0;0
Dulhan;3;2;1;[u'Vijay', u'Will', u'Radha'];[u'Vijay', u'Will'];[u'Radha'];0;0
Duniya Ka Mela;0;0;0;[];[];[];1;1

Ek Anek Aur Ekta;0;0;0;[];[];[];0;0
Farebi;0;0;0;[];[];[];0;0
Faslah;0;0;0;[];[];[];0;0
Geeta Mera Naam;4;2;2;[u'Geeta', u'Johnny', u'Sunil', u'Nita'];[u'Johnny', u'Sunil'];[u'Geeta', u'Nita'];1;1

Goonj;0;0;0;[];[];[];0;0
Haath Ki Safai;8;4;2;[u'KaminiHema', u'Shanker', u'Roma', u'Kamini', u'Raju', u'Ranjeet', u'Shankar', u'Rajeet'];[u'Shanker', u'Raju', u'Ranjeet', u'Shankar'];[u'KaminiHema', u'Kamini'];1;1

Hamrahi;0;0;0;[];[];[];0;0
Hanuman Vijay;0;0;0;[];[];[];1;1

Hawas;4;2;1;[u'Shailendra', u'Neetu', u'Natwarlal', u'Anil'];[u'Shailendra', u'Anil'];[u'Neetu'];1;1

Humshakal;8;3;3;[u'Ratan', u'Sagar', u'Lalita', u'Laxman', u'Rani', u'Mala', u'Radha', u'Ram'];[u'Sagar', u'Laxman', u'Ram'];[u'Lalita', u'Rani', u'Radha'];1;1

Imtihaan;4;1;3;[u'Raja', u'Vicky', u'Pinky', u'Preeti'];[u'Raja'];[u'Vicky', u'Pinky', u'Preeti'];0;0
Insaaniyat;0;0;0;[];[];[];1;1

International Crook;5;2;1;[u'Seema', u'Shekar', u'Goa', u'Rajesh', u'Tiger'];[u'Rajesh', u'Tiger'];[u'Seema'];1;1

Ishq Ishq Ishq;3;0;1;[u'Pooja', u'Dhun', u'Pahar'];[];[u'Pooja'];0;0
Jadu Ka Shankh;0;0;0;[];[];[];0;0
Jai Radhe Krishna;0;0;0;[];[];[];0;0
Jeevan Sangram;0;0;0;[];[];[];0;0
Jurm Aur Sazaa;0;0;0;[];[];[];0;0
Kasauti;0;0;0;[];[];[];0;0
Khotey Sikkay;7;5;1;[u'Ramu', u'Junga', u'Dacoit', u'Dacoits', u'Rani', u'Jaggu', u'Feroze'];[u'Ramu', u'Dacoit', u'Dacoits', u'Jaggu', u'Feroze'];[u'Rani'];1;1

Khoon Ki Keemat;0;0;0;[];[];[];0;0
Kisan Aur Bhagwan;0;0;0;[];[];[];0;0
Kora Badan;0;0;0;[];[];[];0;0
Kora Kagaz;2;0;1;[u'Sukesh', u'Archana'];[];[u'Archana'];1;1

Kunwara Baap;2;0;0;[u'Bharathi', u'polio'];[];[];1;0

Maa Bahen Aur Biwi;0;0;0;[];[];[];0;0
Madhosh;0;0;0;[];[];[];0;0
Majboor;1;1;0;[u'Ravi'];[u'Ravi'];[];1;1

