movieTitle_year,singer_name,gender,song_count
Karma (1986 film)_1986,Mohammed Aziz,UNKNOWN,2
Karma (1986 film)_1986,Anuradha Paudwal,FEMALE,2
Karma (1986 film)_1986,Kishore Kumar,MALE,2
Karma (1986 film)_1986,Mahendra Kapoor,MALE,1
Karamdaata_1986,Suresh Wadkar,MALE,2
Karamdaata_1986,Anuradha Paudwal,FEMALE,1
Karamdaata_1986,Mohammed Aziz,UNKNOWN,1
Karamdaata_1986,Asha Bhosle,FEMALE,2
Karamdaata_1986,Alka Yagnik,FEMALE,2
Maa Ka Aanchal_1970,Asha Bhosle,FEMALE,6
Maa Ka Aanchal_1970,Mukesh (singer),MALE,1
Maa Ka Aanchal_1970,Mohammed Rafi,MALE,3
Khamosh Nigahen (1986 film)_1986,Lata Mangeshkar,FEMALE,1
Khamosh Nigahen (1986 film)_1986,Kishore Kumar,MALE,1
Khamosh Nigahen (1986 film)_1986,Ravi (music director),MALE,1
Khamosh Nigahen (1986 film)_1986,Asha Bhosle,FEMALE,3
Man Ki Aankhen_1970,Mohammed Rafi,MALE,3
Man Ki Aankhen_1970,Lata Mangeshkar,FEMALE,3
Man Ki Aankhen_1970,Manna Dey,MALE,1
Man Ki Aankhen_1970,Asha Bhosle,FEMALE,4
Man Ki Aankhen_1970,Suman Kalyanpur,FEMALE,1
Love 86_1986,Suresh Wadkar,MALE,2
Love 86_1986,Shailendra Singh (singer),MALE,1
Love 86_1986,Shabbir Kumar,UNKNOWN,2
Love 86_1986,Kavita Krishnamurthy,FEMALE,3
Love 86_1986,Mohammed Aziz,UNKNOWN,2
Love 86_1986,Hemlata,FEMALE,1
Love 86_1986,Anuradha Paudwal,FEMALE,1
Love and God_1986,Mohammed Rafi,MALE,11
Love and God_1986,E,UNKNOWN,1
Love and God_1986,Lata Mangeshkar,FEMALE,4
Love and God_1986,Mukesh (singer),MALE,1
Love and God_1986,Talat Mahmood,MALE,1
Love and God_1986,Manna Dey,MALE,2
Love and God_1986,Mukesh,MALE,1
Love and God_1986,Naushad,MALE,2
Love and God_1986,Asha Bhosle,FEMALE,2
Mera Naam Joker_1970,Manna Dey,MALE,1
Mera Naam Joker_1970,Asha Bhosle,FEMALE,1
Mera Naam Joker_1970,Mukesh (singer),MALE,1
Mera Naam Joker_1970,Mukesh,MALE,3
Mera Naam Joker_1970,Mohammed Rafi,MALE,1
Maa Beti_1987,Anuradha Paudwal,FEMALE,4
Maa Beti_1987,Alka Yagnik,FEMALE,3
Maa Beti_1987,Shabbir Kumar,UNKNOWN,1
Maa Beti_1987,Shailendra Singh (singer),MALE,1
Maa Beti_1987,Suresh Wadkar,MALE,2
Maa Beti_1987,Udit Narayan,MALE,1
Maa Beti_1987,Mahendra Kapoor,MALE,1
Mere Humsafar_1970,Mukesh (singer),MALE,1
Mere Humsafar_1970,Lata Mangeshkar,FEMALE,3
Mere Humsafar_1970,Mahendra Kapoor,MALE,1
Mere Humsafar_1970,Numbers in Action,UNKNOWN,1
Mere Humsafar_1970,Asha Bhosle,FEMALE,1
Main Balwan_1986,Kishore Kumar,MALE,2
Main Balwan_1986,Nazia Hassan,FEMALE,2
Main Balwan_1986,Mohammed Aziz,UNKNOWN,1
Main Balwan_1986,Alisha Chinai,UNKNOWN,3
Main Balwan_1986,Bappi Lahiri,MALE,3
Moojrim_1970,Moojrim,UNKNOWN,5
Mazloom_1986,Mohammed Aziz,UNKNOWN,4
Mazloom_1986,Anuradha Paudwal,FEMALE,4
Mazloom_1986,Kavita Krishnamurthy,FEMALE,1
Mazloom_1986,Suresh Wadkar,MALE,1
Mera Dharam_1986,Manhar Udhas,UNKNOWN,3
Mera Dharam_1986,S. Janaki,FEMALE,1
Mera Dharam_1986,Asha Bhosle,FEMALE,4
Mera Dharam_1986,Mohammed Aziz,UNKNOWN,1
Mera Dharam_1986,Kishore Kumar,MALE,1
My Love (1970 film)_1970,My Love (1970 film),UNKNOWN,7
Mera Haque_1986,Kishore Kumar,MALE,1
Mera Haque_1986,Alka Yagnik,FEMALE,2
Mera Haque_1986,Shabbir Kumar,UNKNOWN,2
Mera Haque_1986,Anuradha Paudwal,FEMALE,1
Mera Haque_1986,Anu Malik,MALE,1
Naya Raasta_1970,Mohammed Rafi,MALE,4
Naya Raasta_1970,Asha Bhosle,FEMALE,4
Mohabbat Ki Kasam_1986,Shabbir Kumar,UNKNOWN,4
Mohabbat Ki Kasam_1986,Alka Yagnik,FEMALE,3
Mohabbat Ki Kasam_1986,Shailendra Singh (singer),MALE,1
Mohabbat Ki Kasam_1986,Mahendra Kapoor,MALE,1
Pagla Kahin Ka_1970,Mohammed Rafi,MALE,3
Pagla Kahin Ka_1970,Manna Dey,MALE,1
Pagla Kahin Ka_1970,Lata Mangeshkar,FEMALE,2
Pagla Kahin Ka_1970,Asha Bhosle,FEMALE,1
Naache Mayuri_1986,Lata Mangeshkar,FEMALE,3
Naache Mayuri_1986,Suresh Wadkar,MALE,2
Naache Mayuri_1986,S. Janaki,FEMALE,2
Pardesi_1970,Asha Bhosle,FEMALE,4
Pardesi_1970,Mohammed Rafi,MALE,1
Naam (1986 film)_1986,Mohammad Aziz,UNKNOWN,1
Naam (1986 film)_1986,Pankaj Udhas,MALE,1
Naam (1986 film)_1986,Kavita Krishnamurthy,FEMALE,1
Naam (1986 film)_1986,Manhar Udhas,UNKNOWN,1
Naam (1986 film)_1986,Mohammed Aziz,UNKNOWN,2
Naam (1986 film)_1986,Lata Mangeshkar,FEMALE,1
Nagina (1986 film)_1986,Mohammed Aziz,UNKNOWN,2
Nagina (1986 film)_1986,Anuradha Paudwal,FEMALE,2
Nagina (1986 film)_1986,Lata Mangeshkar,FEMALE,1
Nagina (1986 film)_1986,Kavita Krishnamurthy,FEMALE,1
Pavitra Paapi_1970,Mohammed Rafi,MALE,2
Pavitra Paapi_1970,Asha Bhosle,FEMALE,4
Pavitra Paapi_1970,Kishore Kumar,MALE,1
Pavitra Paapi_1970,Lata Mangeshkar,FEMALE,1
Pavitra Paapi_1970,Usha Mangeshkar,FEMALE,1
Pavitra Paapi_1970,Usha Khanna,FEMALE,1
Naseeb Apna Apna_1986,Ahmed Rushdi,MALE,5
Naseeb Apna Apna_1986,E,UNKNOWN,1
Naseeb Apna Apna_1986,Mala (Pakistani singer),FEMALE,1
Naseeb Apna Apna_1986,Runa Laila,FEMALE,2
Naseeb Apna Apna_1986,Irene Perveen,FEMALE,2
Pehchan (1970 film)_1970,Mukesh (singer),MALE,1
Pehchan (1970 film)_1970,Lata Mangeshkar,FEMALE,1
Pehchan (1970 film)_1970,Suman Kalyanpur,FEMALE,2
Pehchan (1970 film)_1970,Sharda Rajan Iyengar,FEMALE,1
Pehchan (1970 film)_1970,Mukesh,MALE,4
Pehchan (1970 film)_1970,Asha Bhosle,FEMALE,1
Pehchan (1970 film)_1970,Mohammed Rafi,MALE,1
Nasihat_1986,Suresh Wadkar,MALE,6
