movie-name,year-of-release,trailer,movie
baat_ban_gayi,2013,1,0
ishkq_in_paris,2013,1,0
meeruthiya_gangster,2015,1,0
bumboo,2012,1,0
sukhmani,2010,1,0
rocky_handsome,2016,1,0
bhaag_johny,2015,1,0
bodyguard,2011,1,0
khatta_meetha,2010,1,0
31st_october,2016,1,0
children_of_war,2014,1,0
luv_ka_the_end,2011,1,0
wedding_anniversary,2017,1,0
via_darjeeling,2008,1,0
102_not_out,2017,1,0
department,2012,1,0
khwaabb,2014,1,0
pk,2014,1,0
wah_taj,2014,1,0
vishwaroop,2013,1,0
prakash_electronic,2017,1,0
policegiri,2013,1,0
lucknow_central,2017,1,0
wah_taj,2016,1,0
bezubaan_ishq,2015,1,0
creature,2014,1,0
fukrey_returns,2017,1,0
jd,2017,1,0
o_teri,2014,1,0
ugly,2014,1,0
ek_vivaah,2008,1,0
shaurya,2008,1,0
alone,2015,1,0
jattu_engineer,2017,1,0
once_upon_a_time_in_bihar,2015,1,0
ada,2010,1,0
apartment_2,2010,1,0
bank_chor,2017,1,0
bombay_to_bangkok,2008,1,0
jo_hum_chalein,2011,1,0
wajah_tum_ho,2016,1,0
it's_a_wonderful_afterlife,2010,1,0
sunday,2008,1,0
jugni,2016,1,0
sachin:_a_billion_dreams,2017,1,0
sikander,2009,1,0
qaidi_band,2017,1,0
boyss_toh_boyss_hai,2013,1,0
bobby_jasoos,2014,1,0
karthik_calling_karthik,2010,1,0
bang_bang!,2014,1,0
jannat,2008,1,0
brahman_naman,2016,1,0
machhli_jal_ki_rani_hai,2014,1,0
bhoothnath,2008,1,0
dostana,2008,1,0
khamoshiyan:_silences_have_secrets,2015,1,0
room_,2014,1,0
days_of_tafree,2016,1,0
karle_pyaar_karle,2014,1,0
jodi_breakers,2012,1,0
shivaay,2016,1,0
a_decent_arrangement,2014,1,0
ek_kahani_julie_ki,2016,1,0
hey_bro,2015,1,0
anjur_arora_murder_case,2013,1,0
drona,2008,1,0
mr,2010,1,0
aladin,2009,1,0
aa_gaya_hero,2017,1,0
bangistan,2015,1,0
raaz_3,2012,1,0
haunted_,2011,1,0
entertainment,2014,1,0
cocktail,2012,1,0
shaitan,2011,1,0
shaadi_ke_side_effects,2014,1,0
dirty_politics,2015,1,0
go_goa_gone,2013,1,0
all_is_well,2015,1,0
my_name_is_khan,2010,1,0
game,2011,1,0
bal_ganesh_2,2009,1,0
jazbaa,2015,1,0
dil_toh_deewana_hai,2016,1,0
emi_,2008,1,0
blue,2009,1,0
aisa_yeh_jahaan,2015,1,0
student_of_the_year,2012,1,0
kidnap,2008,1,0
